Level code,University,City,Courses,Faculty,Int fees,Local fees,Currency,Currency Time,Duration,Duration Time,Prerequiste_1,Prerequiste_2,Prerequiste_3,Prerequiste_1_grade,Prerequiste_2_grade,Prerequiste_3_grade,Website,course_lang,Availability,Description,Career outcomes,Country,Online,Offline,Distance,Face to face,Blended,Remarks,Free tafe,Course delivery mode,Subject or unit name 1,Subject or unit name 2,Subject or unit name 3,Subject or unit name 4,Subject or unit name 5,Subject or unit name 6,Subject or unit name 7,Subject or unit name 8,Subject or unit name 9,Subject or unit name 10,subject or unit description 1,subject or unit description 2,subject or unit description 3,subject or unit description 4,subject or unit description 5,subject or unit description 6,subject or unit description 7,subject or unit description 8,subject or unit description 9,subject or unit description 10,Subect or unit objective 1,Subect or unit objective 2,Subect or unit objective 3,Subect or unit objective 4,Subect or unit objective 5,Subect or unit objective 6,Subect or unit objective 7,Subect or unit objective 8,Subect or unit objective 9,Subect or unit objective 10
BA,Astralian Maritime College,Launceston,Bachelor of Maritime Engineering (Specialisation) (Honours) (24V1),College of Sciences and Engineering,"157,007",,AUD,Year,4,Years,ATAR,,,70,,,https://www.utas.edu.au/courses/cse/courses/24v1-bachelor-of-maritime-engineering-specialisation-honours,English,A,"The Australian Maritime College prepares graduates with a broad and coherent understanding of the principles underpinning maritime engineering. In addition to developing technical engineering skills and advanced knowledge in your chosen specialisation, you will also acquire professional soft skills in complex problem solving, critical thinking, decision making, and effective communication. This core knowledge is designed so that no matter where you start your career, you will be able to apply your skills and knowledge to a range of engineering professions across the globe.",Working with so many skilled people who pull together to build these complex ships is probably the most satisfying part of the job.,Australia,Yes,Yes,,Yes,Yes,,No,Normal,Engineering Design and Communication KAA108,Engineering Circuits KAA112,Calculus of Several Variables JEE235,Engineering Problem Solving and Data Analysis KAA109,Analysis of Machines and Structures JEE332,Applied Computational Fluid Dynamics JEE480,Thermal Engineering JEE223,Introduction to Maritime Engineering Design JEE252,Materials & Production Processes for Maritime Infrastructure JEE253,Fluid Mechanics JEE221,"This unit aims to introduce students to the professional practice of engineering (including ongoing learning, ethics and safety) and develops skills in technical writing, engineering drawings, engineering design process, and project management techniques. Students will apply this knowledge to work individually and in teams to produce a solution to a real world problem. This unit is the foundation for advanced units in engineering analysis and design in the subsequent years. It will help students build their skill-set towards being a competent engineer with skills in both open-ended problems and solution focused outcomes.","The unit presents a fundamental introduction to electrical circuits and is the first unit to cover this material for all engineers. It covers basic concepts used in the study of electricity and circuits, including the fundamental laws of electrical phenomena, and methods for the analysis of circuits based on the underlying physics and mathematical models. The circuit theorems are studied and applied to solve circuits containing resistors, capacitors and inductors. The unit covers transient and DC/AC circuits, including AC power analysis, three-phase circuits, frequency response and phasors. This unit is considered to be essential for all engineering students and forms the basis for many second, third and fourth year units. The unit assesses students through formal examination and the completion of a report on the practical work performed during the semester. After completing the unit, the student will be able to analyse a circuit containing single phase or three phase AC sources, as well as where transient and DC sources are present. The unit provides the student with the opportunity to become familiar with the safe operation and efficient use of electrical/electronic testing equipment.","This unit builds on foundations laid in first year core units Mathematics I and II giving extensive treatment of some of the more advanced areas of mathematics that have applications in engineering, particularly as tools for computer-based modelling, analysis and design related to heat and fluid flow. The unit aims to present students with methods for translating real engineering problems into mathematical form and guide them in developing mathematical techniques for the solution of such problems.","The unit is primarily designed for students to develop basic to intermediate computer-based skills to solve engineering problems using mathematical and programming techniques. The emphasis is on developing solutions and algorithms by building well structured and efficient computer programs and presenting results in a clear and concise manner in conjunction with engineering problem solving. Students will develop experimental analysis skills and will demonstrate data analysis, software design, report writing, group work & presentation skills. The acquired knowledge and skills will contribute to forming fundamental abilities for further year units related to computer aided engineering and problem solving.","Analysis of Machines and Structures (JEE332) is an intermediate unit that introduces students to the linearized, elastic analysis techniques required for the design of Machines and Structures used in maritime engineering projects. Building upon the knowledge gained in Dynamics and combining it with the concepts gained in Introduction to Maritime Science, Engineering and Technology and Mechanics of Solids, the students are introduced to new theories and techniques required to make engineering decisions and calculations in the design of statically indeterminate structures and mechanical components with a special focus on dynamic response analysis. The knowledge gained in this unit will become the foundation for latter specialized structural analysis and design units of the Naval Architecture, Marine and Offshore Engineering and Ocean Engineering specialisations.","The design and analysis of engineering fluid systems and marine vehicles require the prediction of the fluid behaviour and the interaction between the fluid and the system. This requires a good knowledge of thermo-fluid dynamic principles and the behaviour under varying boundary and operational conditions. This unit introduces students to numerical methods used to solve applied maritime hydrodynamics, fluid dynamics and thermo-fluid dynamics problems. It includes the use of commercial CFD packages and the analysis of results and flow visualisation to investigate the flow and behaviour of the fluid system or marine vehicle. It builds on the knowledge gained in Fluid Dynamics and relevant mathematical concepts.","Energy is one of the 21st century's biggest engineering issues, and thermodynamics (the science of energy) will play a key role in understanding the energy needs. JEE223 Thermal Engineering is a foundation unit designed to introduce the laws and concepts of engineering thermodynamics using several contemporary applications.","This unit introduces the student to the overall philosophy, rational thought process and engineering techniques required for the conceptual design of marine structures, ocean vehicles and maritime engineering systems. The unit will also introduce student to the concepts of engineering ethics, human factors and sustainability in the context of maritime engineering design.  The student will be expected to apply problem solving, design and decision-making methodologies to meet client requirements and to comply with regulatory and industry specific constraints by formulating innovative solutions with intellectual independence.  The knowledge gained in this unit will be fundamental for future degree specific design units as well as for the final year capstone design project.","This unit provides an introduction to fundamental aspects of the rational engineering approaches and issues which influence the construction of marine vessels, on-board systems and offshore structures including materials. The unit will serve sympathetic approaches of the procedures, processes, tools, techniques, strategies and tactics used for managing on-site construction and production operations in a multi-tasking team environment. This unit further develops soft skills gained in the first year and project management in the second year. Moreover, the unit will cover corrosion, heat treatments in steel, quality and safety related issues to understand its relevance for theory and practise employed during construction and production of maritime infrastructures.","The design and analysis of engineering fluid systems and marine vehicles require the knowledge of the principles and behaviour of moving and stationary fluids. This unit provide students with knowledge and understanding of fluid flow phenomena via flow visualization, theory and practical exercises addressing the continuity and force-momentum equations and relevant hydrodynamic coefficients for incompressible fluid flow. It builds on the basic engineering knowledge gained in year one.","Apply basic project management techniques for individual work and in team environments., Deliver a solution to a basic engineering problem using engineering principles and design practices., Present conceptual designs and project outcomes using engineering communication methods including CAD., Apply foundational principles of professional practice (ongoing learning, ethics and safety) while undertaking an engineering project.","Compute and design optimal loads for power delivered, and power factor correction systems in AC circuits containing capacitors, inductors, resistors as well as mutual induction devices and transformers., Analyse and compute the currents and potential differences in DC circuits., Analyse the currents and potential differences in dynamic circuits based on linear ordinary differential equations of first and second order., Compute power delivered to a load by an induction machine using complex current calculations.","2020: $1,190.00","Design structured programs and algorithms relevant to engineering problems., Solve fundamental engineering problems using programming and mathematical techniques., Analyse data from an engineering experiment using procedural and functional programming techniques., Design a software solution to a complex engineering problem in a team environment.","2020: $1,190.00","2020: $1,190.00","2020: $1,190.00","2020: $1,190.00","2020: $1,190.00","2020: $1,190.00"
BA,Astralian Maritime College,Launceston,Bachelor of Maritime Engineering (Specialisation) (Honours) (Co-operative Education) (24W),College of Sciences and Engineering,,,AUD,Year,5,Years,ATAR,,,85,,,https://courses.its.utas.edu.au/courses/cse/courses/24w-bachelor-of-maritime-engineering-specialisation-honours-co-operative-education?year=2021,English,A,,"People had a rough idea where the deepest point was in the Indian Ocean, but no one knew for sure and we confirmed that. The charts at one point were off by 1000m. Read more",Australia,Yes,Yes,,Yes,Yes,,No,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADEG,Astralian Maritime College,Launceston,Master of Engineering (Maritime Design) (27B1),College of Sciences and Engineering,"69,088",,AUD,Year,2,Years,,,,,,,https://www.utas.edu.au/courses/cse/courses/27b1-master-of-engineering-maritime-design,English,A,Our postgraduate maritime engineering programmes provide engineering graduates with in-depth exposure to a wide range of subjects relevant to the development and procurement of marine systems.,"The Master of Engineering degree is targeted at engineering professionals already in the workforce, who wish to pursue, or develop a career in the technical management of maritime engineering projects.",Australia,Yes,Yes,,Yes,Yes,,No,Normal,Modelling and Simulation of Marine Systems JEE506,"Signal Conditioning, Data Acquisition and Data Analysis JEE508",Computational Fluid Dynamics and Hydrodynamics JEE509,Environmental and Spatial Data Analysis KSM605,Research Methods JNB508,Data Analysis and Presentation JFA513,Ship Design JEE503,Principles of Naval Architecture JEE504,Management of Engineering Projects JEE505,Design of Marine Machinery Systems JEE529,"The purpose of this unit is to provide students with an understanding of modelling and simulation techniques and their application to the analysis of marine engineering systems. Students are introduced to numerical methods, control systems, first and second order systems, and the associated modelling strategies. This unit is structured around the application software MATLAB/Simulink which students will use to create programs that simulate marine systems such as pump-pipe networks, heating ventilating and air conditioning, and propulsion systems.","This unit is specifically designed for graduates requiring a rigorous yet applied and functional knowledge of signal conditioning and data acquistion appropriate for experiments carried out in the maritime field.  The subject matter has been designed around the specific problems encounted using the suite of testing facilities of the National Centre for Maritime Engineering and Hydrodynamics.  However, upon successful completion and retention of the knowledge gained within this unit the student will be able to transfer the methods to other testing environments.  The intensive learning sessions begin with learning activities on transducer technologies for pressure, force, strain, acceleration and flow measurements.  Topics on signal conditioning and data acquisition then lead on to filter deisgn.  Post- processing of data is covered in the final 2.5 days with specific reference to the hardware already introduced.  For all aspects of the course students are exposed to global resources available for such work from the lecturer's experiences of conducting experiments in a number of world renowned facilities.","This unit introduces students to maritime hydrodynamics and Computational Fluid Dynamics to solve hydrodynamics problems.    On successful completion of the unit, students should be able to:","Environmental scientists increasingly need to deal with complex and large quantitative data sets collected from a variety of sources (i.e. remote sensing, moored instrumentation arrays and autonomous vehicles). As a result, computational and data analysis skills are highly desirable and useful across the many sub-disciplines of the environmental and marine sciences. This unit provides and introduction to processing, visualizing, and interpreting quantitative, spatial marine and environmental science data using scientific computing techniques. Computation methods and visualizations will be performed using a variety of software and computing languages including MATLAB, ArcGIS and Python.","This unit aims to provide a thorough understanding and appreciation of the nature and processes of research. It is specifically designed to help those students engaged in research for the first time. This unit will help develop skills as a researcher by addressing just what research is, and what is involved in the detail of the research process. Students will gain an understanding of issues which underlie the practice of research by studying conceptual frameworks of different researchers, by analysis of completed research studies, and by application of what they learn through their own research study.","The emphasis in this unit is on training scientists to be literate in statistical issues so that both ""consumers"" and ""producers"" of data analysis will be able to effectively communicate. Students will be able to critically assess, understand, and use information (qualitative and quantitative) that has been collected, analysed and presented by scientists from a range of disciplines. This will be achieved by providing a conceptual understanding of the methods of data analyses commonly used by scientists. Given the type of question asked and the data collected, students will be able to present and communicate data/information using statistics as a tool.","In this unit, students develop the techniques required for the design of surface vessels. They develop the conceptual and analytical skills necessary at a detailed level of ship design with a particular emphasis on design driver identification and initial parameter estimates and the effects of regulatory, practical and economic constraints on design. Students are also introduced to the concepts of ship behaviour in waves and the process of evaluating the seakeeping and maneuvering characteristics of a vessel. Students will develop a concept design based on an appraisal of operational requirements via a clearly structured and rational process with a shortlist of fundamental integral systems for a concept design.","In this unit, students learn how to determine hydrostatic data for any hull form, and predict the influence of hull form on vessel stability characteristics. Students are also introduced to means of determining a vessel's global longitudinal strength and methods of analysing local structure. Additionally students are introduced to an overview of the naval architectural design process and the more prominent regulatory constraints.","This unit provides students with the skills required to ensure that their engineering projects are thoroughly planned, well managed and successful. It focuses on project management methods, skills and strategies. Participants develop their knowledge through the application of these new skills to maritime engineering projects.","This unit gives students an understanding of the functional purpose of the machinery systems used on board a variety of ships. This knowledge can then be applied to obtaining effective engineering design solutions for these systems, so that they can meet their functional purposes within national and international statutory and regulatory frameworks.",,,,"2020: $1,190.00",,,,,,
BA,Astralian Maritime College,Launceston,Bachelor of Global Logistics and Maritime Management (P3E),College of Sciences and Engineering,"99,244",,AUD,Year,3,Years,ATAR,,,65,,,https://www.utas.edu.au/courses/cse/courses/p3e-bachelor-of-global-logistics-and-maritime-management,English,A,"The Bachelor of Global Logistics and Maritime Management provides graduates with high-level expertise and knowledge to understand the maritime business in the global arena, the world-wide spanning logistics services and strategies, as well as the structuring, operation and coordination of supply chains.","The maritime and the logistics industries underpin international business and world trade. They are a key element in sustainable development, and are tightly interconnected with human society: physically, socially and economically.",Australia,Yes,Yes,,Yes,Yes,,No,Normal,Ship Design JND317,Managing People for Competitive Advantage JNB324,Engineering Dynamics KAA111,Logistics Management JNB225,Air Freight Transport JNB161,Materials & Production Processes for Maritime Infrastructure JEE253,Human Factors and Risk Management in the Maritime Industry JND307,Ship Chartering JNB365,"Introduction to Maritime Science, Engineering and Technology JEE246",Supply Chain Management JNB330,Students completing this unit will identify the considerable changes taking place in shipbuilding practice with the development of technology and the changes in the rules governing their construction and operation. The unit further focusses on the knowledge and skills needed in maintaining the vessel's seaworthiness to Class recommendations. It also incorporates a ship master's perspective in understanding the operation of the main propulsion and auxiliary machinery and responding to consequences in the event of machinery malfunction.,This unit explores the employment relationship and the importance of strategically managing people from their initial talent attraction through to retirement or termination. In working through this unit studies are focussed on effective and efficient strategic human resource management as an important means of creating value and developing a sustainable competitive advantage.,In this unit you will develop knowledge and skills for solving problems in engineering dynamics based on fundamental theory developed using Newtonian Mechanics with an introductory focus on particle kinematics and kinetics. This leads to the development of problem solving skills to determine and identify various machine motions including the kinematics of rotating and translating rigid members and planar motion of machine components. In addition students will also develop practical engineering and teamwork skills by taking part in practical activities throughout the semester. The unit prepares students for all specialisations of the degree by providing a broader overview of dynamics relevant to all disciplines of engineering.,This unit provides students with a broad appreciation of the nature and importance of logistics activities and an understanding of some of the key concepts and tools used by logistics managers. After studying the unit students should be able to contribute positively to the logistics management activities in a company.,"This unit covers a wide range of topics relating to the air freight transport industry including its management and operation, economic and market characteristics, airports and aircraft, marketing and pricing strategies, forecasting, cargo handling and terminal management, designed to give you a holistic picture of the air freight transport industry. The discussion of air freight transport will focus on the movement of cargo by air in both domestic and global markets. The unit will also introduce you to policies and regulations that govern the air freight transport industry.","This unit provides an introduction to fundamental aspects of the rational engineering approaches and issues which influence the construction of marine vessels, on-board systems and offshore structures including materials. The unit will serve sympathetic approaches of the procedures, processes, tools, techniques, strategies and tactics used for managing on-site construction and production operations in a multi-tasking team environment. This unit further develops soft skills gained in the first year and project management in the second year. Moreover, the unit will cover corrosion, heat treatments in steel, quality and safety related issues to understand its relevance for theory and practise employed during construction and production of maritime infrastructures.","Human Factors is a multi-disciplinary applied science that integrates the fields of psychology, engineering, ergonomics, management and industrial design. Human Factors pivots around the processes of effective system design, and deals with areas such as personnel selection; personnel training; machine design; job design; and, environmental design. This unit provides an introduction to the range of issues covered in human factors and supports the development of some basic skills used by human factors professionals to study occupational environments.","This unit involves comprehending, analysing and evaluating the processes and practices which bring shipowners and cargo owners together in a contractual relationship for carrying cargo. This business is usually facilitated by intermediaries called brokers. The aim of this unit is to provide you with a comprehensive sketch of the concepts, principles and practice which underpin the commercial employment of ships under charter arrangements.","This unit provides an introduction to the ocean environment and the role of maritime engineers in the design of maritime infrastructure. The unit covers essential elementary knowledge of marine sciences, types of marine crafts and maritime structures, marine systems, and ocean renewable energy technology. The unit also introduces the student to the application of project management concepts and tools within the broader maritime engineering context.","Supply Chain Management develops logistics knowledge in conjuntion with concepts from strategic management, information technology, marketing and transportation systems. This enables better management of the supply chain providing efficencies and improving customer value creation.",,,"Solve kinematics problems by applying dynamics principles., Solve 2D kinetic problems using the principles of Newtonian Mechanics., Analyse experimental and theoretical data collected safely during practical work individually or working as part of a team., Report engineering results and conclusions utilising theoretical and experimental data.",,,"2020: $1,190.00","Assess human factor issues in the maritime environment and develop an appropriate response., Analyse a maritime-related task using hierarchical task analysis (HTA) to identify errors in the procedure, Examine a maritime accident and illustrate the causes using a theoretical model of accident causation, Assess the implications of human factor issues for the wider maritime community to devise a solution.","Explain shipping market reports and discuss the structure and content of key documents, describe the role of brokers and agents operating in shipping markets and discuss their legal and ethical responsibilities, analyse charterparties and discuss the obligations, liabilities and entitlements of shipowners and charterers, estimate financial returns from prospective alternative voyages of a ship and determine the most suitable option.","2020: $1,190.00",
BA,Astralian Maritime College,Launceston,Bachelor of Global Logistics and Maritime Management with Honours (P4H),College of Sciences and Engineering,"32,950",,AUD,Year,1,Year,,,,,,,https://www.utas.edu.au/courses/cse/courses/p4h-bachelor-of-global-logistics-and-maritime-management-with-honours,English,A,The Bachelor of Global Logistics and Maritime Management with Honours program provides outstanding undergraduate students with an extra year of advanced study and research that enhances their knowledge and analytical skills in the field of maritime and logistics management.,"The Honours program provides graduating candidates with a competitive advantage when seeking employment. Traditionally, Honours graduates are well regarded by employers because of their high level of academic achievement, well-developed research skills, and proven ability to work independently with minimal direct supervision.",Australia,Yes,Yes,,Yes,Yes,,No,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIP,Astralian Maritime College,Launceston,Diploma of Global Logistics and Maritime Management (P1E),College of Sciences and Engineering,"31,950",,AUD,Year,1,Year,ATAR,,,50,,,https://www.utas.edu.au/courses/cse/courses/p1e-diploma-of-global-logistics-and-maritime-management,English,A,The Diploma of Global Logistics and Management aims to prepare students for their early careers in the maritime and logistics industries with the following skills.,"The Diploma of Global Logistics and Maritime Management is designed to prepare students for management and administrative careers in private enterprise, industry organisations and government in the areas of commercial shipping, ports and terminals, transport policy and administration, freight forwarding and exporting and importing.",Australia,Yes,Yes,,Yes,Yes,,No,Normal,International Business Communication JNB154,,,,,,,,,,"International Business Communication enables students to develop the fundamental written and verbal communication skills necessary for effective communication in their international business careers and their academic studies. Additionally, the significance of communication skills to successful business organisations is explored.",,,,,,,,,,,,,,,,,,,
ADEG,Astralian Maritime College,Launceston,Associate Degree in Global Logistics and Maritime Management (P2E),College of Sciences and Engineering,"50,875",,AUD,Year,2,Years,ATAR,,,57,,,https://www.utas.edu.au/courses/cse/courses/p2e-associate-degree-in-global-logistics-and-maritime-management,English,A,"This course provides students with knowledge of critical elements of the maritime and logistics industries, enabling business and management problem-solving skills to be applied to key industry issues. The course provides the necessary grounding in maritime and international logistics, covering essential topics relevant to international business management, transport systems and the maritime industry.","The course will allow graduates to contribute to operations and management in the international logistics and maritime industries. Organisations active in international trade, such as those involved in exporting and importing, global transport, ship management, international freight forwarding and ports and terminals will be potential employers. Additionally the course will provide a solid grounding in international logistics and maritime transport issues for people employed in government and other policy-related areas.",Australia,Yes,Yes,,Yes,Yes,,No,Normal,Maritime Economics JNB260,International Business Communication JNB154,Commercial and Transport Law JNB163,Introduction to the Maritime Industry JNB156,Exporting and Importing JNB160,Ship Operations Management JNB261,Maritime Law JNB253,Port and Terminal Management JNB204,,,"The objective of this unit is to provide a general understanding of the organisation and operation of the maritime industry from an economics perspective. The main focus is on the economic behaviour of shipowners, shippers, and other stakeholders in the markets for liquid bulk, dry bulk and container shipping, shipbuilding and second-hand ships.","International Business Communication enables students to develop the fundamental written and verbal communication skills necessary for effective communication in their international business careers and their academic studies. Additionally, the significance of communication skills to successful business organisations is explored.",Business and transport law is both broad and specific in its reach. This unit introduces broad foundations to business law within Australia before specifically applying understandings gained to the laws governing transport within Australia.,"This unit provides students with a good understanding of individual sectors in the maritime industry. It introduces the maritime industry’s history, maritime geography and the concept of maritime transport in facilitating international trade. This unit covers various maritime sectors such as shipping, shipbuilding, repairs and maintenance, ports, offshore energy, maritime tourism, maritime governance and defence and Law enforcement. Finally, key contemporary issues related to the maritime industry are addressed.",This unit is designed to provide students with the essential elements of modern exporting and importing practice. It attempts to blend the academic rigour of the principles of international trade with practical and operational aspects of export and import management.,"This unit examines the technical and operational aspects of managing ships. The unit explores the ship-related operations that are necessary to transport cargo in a safe, efficient, and commercially viable manner. The unit analyses ships’ nautical, commercial, and cargo operations in detail. It studies the operational management of ships under the frameworks of commercial management, technical management and crew management.","Maritime Law is a key unit for those interested in the legal underpinnings of world trade, commerce and development.",This unit aims to provide you with a general understanding of the role and significance of ports and of key factors associated with the management and operations of ports. You will be introduced to the operating environment of ports and a range of port management functions and operational activities which are the foundation of the role of ports. The unit will also address emerging trends in the role of ports and contemporary management practices in ports. The unit is arranged to meet the need of students at different stages in their careers and at different levels in their organisations.,,,"discuss the organisation and operation of the maritime industry from the economic perspective., explain the demand and supply of shipping services and their determinants., explain the operation and market structure of the bulk, general, and specialised shipping markets., analyse the key issues in maritime policies and regulations.",,,"Describe the various commercial, industrial and governmental sectors comprising the Maritime Industry., Explain the relationships between the sectors of the Maritime Industry., Discuss the significance of the Maritime Industry to domestic and international trade and sustainable development.",,"Explain the key ship operations necessary for providing maritime transport services, Analyse the impact of technological, regulatory, social and ethical factors on the management of ship operations, Evaluate management decisions for operating ships in a safe, sustainable and commercially viable manner",,"Explain the key issues in the commercial and operational aspects of port and terminal management, Evaluate the role, organisation and operation of ports and terminals in promoting the efficiency of the maritime and logistics sector, Apply relevant analytical frameworks to analyse the performance of ports and terminals under the effects of internal and external factors, and draw the implications for port management and stakeholders",,
BA,Astralian Maritime College,Launceston,Bachelor of Applied Science (Marine Engineering) (23R),College of Sciences and Engineering,,,AUD,Year,4,Years,ATAR,,,,,,https://www.utas.edu.au/courses/cse/courses/23r-bachelor-of-applied-science-marine-engineering,English,A,"Our degree is built to prepare you for your career at sea, with unmatched training and experience, you will have the flexibility to choose your own path as a Marine Engineer. In addition to developing broad and coherent knowledge of marine engineering required to undertake maintenance work in any position aboard a vessel, you will acquire core skills in operation monitoring, system analysis, and complex problem solving.","“AMC has a good reputation, which is one of the main reasons I chose to study here. My qualification has given me a kick start in the industry as an Engineer Watchkeeper. After completing my initial course and working at sea for 9 years, I decided to return to AMC to further my career prospects and obtain my Class 2 Engineer qualification”",Australia,Yes,Yes,,Yes,Yes,,No,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Astralian Maritime College,Launceston,Bachelor of Applied Science (Nautical Science) (23Q),College of Sciences and Engineering,,,AUD,Year,4.5,Years,ATAR,,,,,,https://www.utas.edu.au/courses/cse/courses/23q-bachelor-of-applied-science-nautical-science,English,A,"Our degree is built to prepare you for your career at sea, with unmatched training and experience, you will have the flexibility to choose your own path as a Navigating Deck Officer. In addition to developing broad and coherent nautical knowledge required to work in any position as a Navigation Officer aboard a vessel, you will acquire core skills in operational aspects, control precision, and spatial orientation.","""I just love how different every day is – on any day, I could be climbing a Navigation Mast, entering an enclosed space, or navigating some of the busiest oceans in the world. These are only a tiny number of my work-stories, and if you look at the other benefits of a seagoing career (equal time leave & plenty of money!) you are able to pursue the most incredible leave adventures"".",Australia,Yes,Yes,,Yes,Yes,,No,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
