Level code,University,City,Courses,Faculty,Int fees,Local fees,Currency,Currency Time,Duration,Duration Time,Prerequiste_1,Prerequiste_2,Prerequiste_3,Prerequiste_1_grade,Prerequiste_2_grade,Prerequiste_3_grade,Website,course_lang,Availability,Description,Career outcomes,Country,Online,Offline,Distance,Face to face,Blended,Remarks,Free tafe,Course delivery mode
BA,Astralian Maritime College,Launceston,Bachelor of Maritime Engineering (Specialisation) (Honours) (24V1),College of Sciences and Engineering,"157,007",,AUD,Year,4,Years,ATAR,,,70,,,https://www.utas.edu.au/courses/cse/courses/24v1-bachelor-of-maritime-engineering-specialisation-honours,English,A,"The Bachelor of Maritime Engineering (Specialisation) (Honours), is a distinctive Maritime Engineering degree and the only of its kind in the Southern hemisphere.",Working with so many skilled people who pull together to build these complex ships is probably the most satisfying part of the job.,Australia,Yes,Yes,,Yes,Yes,,No,Normal
BA,Astralian Maritime College,Launceston,Bachelor of Maritime Engineering (Specialisation) (Honours) (Co-operative Education) (24W),College of Sciences and Engineering,,,AUD,Year,5,Years,ATAR,,,85,,,https://courses.its.utas.edu.au/courses/cse/courses/24w-bachelor-of-maritime-engineering-specialisation-honours-co-operative-education?year=2021,English,A,,"People had a rough idea where the deepest point was in the Indian Ocean, but no one knew for sure and we confirmed that. The charts at one point were off by 1000m. Read more",Australia,Yes,Yes,,Yes,Yes,,No,Normal
ADEG,Astralian Maritime College,Launceston,Master of Engineering (Maritime Design) (27B1),College of Sciences and Engineering,"69,088",,AUD,Year,2,Years,,,,,,,https://www.utas.edu.au/courses/cse/courses/27b1-master-of-engineering-maritime-design,English,A,Our postgraduate maritime engineering programmes provide engineering graduates with in-depth exposure to a wide range of subjects relevant to the development and procurement of marine systems.,"The Master of Engineering degree is targeted at engineering professionals already in the workforce, who wish to pursue, or develop a career in the technical management of maritime engineering projects.",Australia,Yes,Yes,,Yes,Yes,,No,Normal
BA,Astralian Maritime College,Launceston,Bachelor of Global Logistics and Maritime Management (P3E),College of Sciences and Engineering,"99,244",,AUD,Year,3,Years,ATAR,,,65,,,https://www.utas.edu.au/courses/cse/courses/p3e-bachelor-of-global-logistics-and-maritime-management,English,A,"The Bachelor of Global Logistics and Maritime Management provides graduates with high-level expertise and knowledge to understand the maritime business in the global arena, the world-wide spanning logistics services and strategies, as well as the structuring, operation and coordination of supply chains.","The maritime and the logistics industries underpin international business and world trade. They are a key element in sustainable development, and are tightly interconnected with human society: physically, socially and economically.",Australia,Yes,Yes,,Yes,Yes,,No,Normal
BA,Astralian Maritime College,Launceston,Bachelor of Global Logistics and Maritime Management with Honours (P4H),College of Sciences and Engineering,"32,950",,AUD,Year,1,Year,,,,,,,https://www.utas.edu.au/courses/cse/courses/p4h-bachelor-of-global-logistics-and-maritime-management-with-honours,English,A,The Bachelor of Global Logistics and Maritime Management with Honours program provides outstanding undergraduate students with an extra year of advanced study and research that enhances their knowledge and analytical skills in the field of maritime and logistics management.,"The Honours program provides graduating candidates with a competitive advantage when seeking employment. Traditionally, Honours graduates are well regarded by employers because of their high level of academic achievement, well-developed research skills, and proven ability to work independently with minimal direct supervision.",Australia,Yes,Yes,,Yes,Yes,,No,Normal
DIP,Astralian Maritime College,Launceston,Diploma of Global Logistics and Maritime Management (P1E),College of Sciences and Engineering,"31,950",,AUD,Year,1,Year,ATAR,,,50,,,https://www.utas.edu.au/courses/cse/courses/p1e-diploma-of-global-logistics-and-maritime-management,English,A,The Diploma of Global Logistics and Management aims to prepare students for their early careers in the maritime and logistics industries with the following skills.,"The Diploma of Global Logistics and Maritime Management is designed to prepare students for management and administrative careers in private enterprise, industry organisations and government in the areas of commercial shipping, ports and terminals, transport policy and administration, freight forwarding and exporting and importing.",Australia,Yes,Yes,,Yes,Yes,,No,Normal
ADEG,Astralian Maritime College,Launceston,Associate Degree in Global Logistics and Maritime Management (P2E),College of Sciences and Engineering,"50,875",,AUD,Year,2,Years,ATAR,,,57,,,https://www.utas.edu.au/courses/cse/courses/p2e-associate-degree-in-global-logistics-and-maritime-management,English,A,"This course provides students with knowledge of critical elements of the maritime and logistics industries, enabling business and management problem-solving skills to be applied to key industry issues. The course provides the necessary grounding in maritime and international logistics, covering essential topics relevant to international business management, transport systems and the maritime industry.","The course will allow graduates to contribute to operations and management in the international logistics and maritime industries. Organisations active in international trade, such as those involved in exporting and importing, global transport, ship management, international freight forwarding and ports and terminals will be potential employers. Additionally the course will provide a solid grounding in international logistics and maritime transport issues for people employed in government and other policy-related areas.",Australia,Yes,Yes,,Yes,Yes,,No,Normal
BA,Astralian Maritime College,Launceston,Bachelor of Applied Science (Marine Engineering) (23R),College of Sciences and Engineering,,,AUD,Year,4,Years,ATAR,,,,,,https://www.utas.edu.au/courses/cse/courses/23r-bachelor-of-applied-science-marine-engineering,English,A,"Our degree is built to prepare you for your career at sea, with unmatched training and experience, you will have the flexibility to choose your own path as a Marine Engineer. In addition to developing broad and coherent knowledge of marine engineering required to undertake maintenance work in any position aboard a vessel, you will acquire core skills in operation monitoring, system analysis, and complex problem solving.","“AMC has a good reputation, which is one of the main reasons I chose to study here. My qualification has given me a kick start in the industry as an Engineer Watchkeeper. After completing my initial course and working at sea for 9 years, I decided to return to AMC to further my career prospects and obtain my Class 2 Engineer qualification”",Australia,Yes,Yes,,Yes,Yes,,No,Normal
BA,Astralian Maritime College,Launceston,Bachelor of Applied Science (Nautical Science) (23Q),College of Sciences and Engineering,,,AUD,Year,4.5,Years,ATAR,,,,,,https://www.utas.edu.au/courses/cse/courses/23q-bachelor-of-applied-science-nautical-science,English,A,"Our degree is built to prepare you for your career at sea, with unmatched training and experience, you will have the flexibility to choose your own path as a Navigating Deck Officer. In addition to developing broad and coherent nautical knowledge required to work in any position as a Navigation Officer aboard a vessel, you will acquire core skills in operational aspects, control precision, and spatial orientation.","""I just love how different every day is – on any day, I could be climbing a Navigation Mast, entering an enclosed space, or navigating some of the busiest oceans in the world. These are only a tiny number of my work-stories, and if you look at the other benefits of a seagoing career (equal time leave & plenty of money!) you are able to pursue the most incredible leave adventures"".",Australia,Yes,Yes,,Yes,Yes,,No,Normal
ADEG,Astralian Maritime College,Distance Launceston,Master of Applied Science (Specialisation) (J7E),College of Sciences and Engineering,"46,967",,AUD,Year,1.5,Years,,,,,,,https://www.utas.edu.au/courses/cse/courses/j7e-master-of-applied-science-specialisation,English,A,Students will be able to enter the Masters following completion of the Graduate Diploma or a similar and equivalent award from another tertiary institution.,,Australia,Yes,Yes,,Yes,Yes,,No,Normal
ADEG,Astralian Maritime College,Launceston,Graduate Certificate in Maritime and Logistics Management (J5N),College of Sciences and Engineering,"16,500",,AUD,Year,0.5,Year,,,,,,,http://www.utas.edu.au/courses/amc/courses/j5n-graduate-certificate-in-maritime-and-logistics-management,English,A,This course provides candidates with the extensive knowledge and analytical skills required to meet the challenges facing the maritime and logistics industry and to enhance their career opportunities in management positions at both local and international levels.,"The organisations connected with the maritime and logistics industries are very diverse, including for instance large private companies, entrepreneurial start-ups and government entities. The diversity creates many opportunities for your career progression, both globally and domestically. For example, the maritime industry includes ports, shipping companies, stevedores and tourism and the logistics industry encompasses warehousing, road freight, air freight, freight forwarding and distribution. Additionally, many organisations may have a primary focus on manufacturing or international business, which will necessitate that they have internal departments involved in logistics, supply chain management and international trade, creating more opportunities. With logistics the fastest growing industry globally, there are many possibilities for you to choose.",Australia,Yes,Yes,,Yes,Yes,,No,Normal
DIP,Astralian Maritime College,Launceston,Graduate Diploma of Maritime and Logistics Management (J6N),College of Sciences and Engineering,"34,950",,AUD,Year,1,Year,,,,,,,http://www.utas.edu.au/courses/amc/courses/j6n-graduate-diploma-of-maritime-and-logistics-management,English,A,This course provides candidates with the extensive knowledge and analytical skills required to meet challenges facing the maritime and transport logistics industry and to enhance their career opportunities in management positions at both local and international levels. The Graduate Diploma aims to help candidates develop a holistic and analytical perspective of the industry.,"The organisations connected with the maritime and logistics industries are very diverse, including for instance large private companies, entrepreneurial start-ups and government entities. The diversity creates many opportunities for your career progression, both globally and domestically. For example, the maritime industry includes ports, shipping companies, stevedores and tourism and the logistics industry encompasses warehousing, road freight, air freight, freight forwarding and distribution. Additionally, many organisations may have a primary focus on manufacturing or international business, which will necessitate that they have internal departments involved in logistics, supply chain management and international trade, creating more opportunities. With logistics the fastest growing industry globally, there are many possibilities for you to choose.",Australia,Yes,Yes,,Yes,Yes,,No,Normal
ADEG,Astralian Maritime College,Launceston,Master of Business Administration (Maritime and Logistics Management) (J7N),College of Sciences and Engineering,"50,078",,AUD,Year,1.5,Years,,,,,,,http://www.utas.edu.au/courses/amc/courses/j7n-master-of-business-administration-maritime-and-logistics-management,English,A,"The Master of Business Administration (Maritime and Logistics Management) is designed to provide both existing and potential middle and senior managers with high level management knowledge and expertise in an international context. Besides applying business principles, such as management and finance to the maritime and logistics industries, a strategic perspective to international issues relating to ports and supply chains provides industry focused learning outcomes. With a focus on an applied approach to these critical industries, centred on a strategic and analytical thinking, a unique educational experience is provided. The degree aims to produce inter-culturally competent graduates who are able to contribute substantially to senior decision-making to maintain and enhance the sustainability of these industries.","The organisations connected with the maritime and logistics industries are very diverse, including for instance large private companies, entrepreneurial start-ups and government entities. The diversity creates many opportunities for your career progression, both globally and domestically. For example, the maritime industry includes ports, shipping companies, stevedores and tourism and the logistics industry encompasses warehousing, road freight, air freight, freight forwarding and distribution. Additionally, many organisations may have a primary focus on manufacturing or international business, which will necessitate that they have internal departments involved in logistics, supply chain management and international trade, creating more opportunities. With logistics the fastest growing industry globally, there are many possibilities for you to choose.",Australia,Yes,Yes,,Yes,Yes,,No,Normal
ADEG,Astralian Maritime College,Launceston,Master of Business Administration (Advanced) (Maritime and Logistics Management) (27C),College of Sciences and Engineering,"72,141",,AUD,Year,2,Years,,,,,,,http://www.utas.edu.au/courses/amc/courses/27c-master-of-business-administration-advanced-maritime-and-logistics-management,English,A,"The MBA(Advanced)(MLM) is designed to provide both existing and potential middle and senior managers with high level management knowledge and expertise in an international context. Besides applying business principles, such as management and finance to the maritime and logistics industries, a strategic perspective to international issues relating to ports and supply chains provides industry focused learning outcomes.  With a focus on an applied approach to these critical industries, centred on strategic and analytical thinking, a unique educational experience is provided.  The degree aims to produce inter-culturally competent graduates who are able to contribute substantially to senior decision-making to maintain and enhance the sustainability of these industries.","The organisations connected with the maritime and logistics industries are very diverse, including for instance large private companies, entrepreneurial start-ups and government entities. The diversity creates many opportunities for your career progression, both globally and domestically. For example, the maritime industry includes ports, shipping companies, stevedores and tourism and the logistics industry encompasses warehousing, road freight, air freight, freight forwarding and distribution. Additionally, many organisations may have a primary focus on manufacturing or international business, which will necessitate that they have internal departments involved in logistics, supply chain management and international trade, creating more opportunities. With logistics the fastest growing industry globally, there are many possibilities for you to choose.",Australia,Yes,Yes,,Yes,Yes,,No,Normal
ADEG,Astralian Maritime College,Launceston,Master of Logistics Management (Advanced) (27G),College of Sciences and Engineering,"64,001",,AUD,Year,2,Years,,,,,,,http://www.utas.edu.au/courses/27g,English,A,"With global supply chains evolving and expanding constantly, the understanding of how to develop and implement sustainable, effective and efficient logistics strategies is a key prerequisite to the success of businesses in any area and any size.","This course provides a broad focus on logistics and is suitable for students with future employment or current professional experience in private enterprise, industry or government, involved in demand and production planning, the transport industry, retail companies, logistics service provider companies, port authorities, the safe and efficient distribution of goods, agribusiness, security and international humanitarian logistics.",Australia,Yes,Yes,,Yes,Yes,,No,Normal
ADEG,Astralian Maritime College,Launceston,Master of Engineering (Maritime Design) (27B1),College of Sciences and Engineering,"69,088",,AUD,Year,2,Years,,,,,,,http://www.utas.edu.au/courses/amc/courses/27b1-master-of-engineering-maritime-design,English,A,Our postgraduate maritime engineering programmes provide engineering graduates with in-depth exposure to a wide range of subjects relevant to the development and procurement of marine systems.,"The Master of Engineering degree is targeted at engineering professionals already in the workforce, who wish to pursue, or develop a career in the technical management of maritime engineering projects.",Australia,Yes,Yes,,Yes,Yes,,No,Normal
ADEG,Astralian Maritime College,Distance Launceston,Graduate Certificate in Applied Science (Specialisation) (J5E),College of Sciences and Engineering,"15,475",,AUD,Year,0.5,Year,,,,,,,http://www.utas.edu.au/courses/amc/courses/j5e-graduate-certificate-in-applied-science-specialisation,English,A,"The program will set the Australian benchmark for professional development in maritime operations. The key objective is to provide graduates with a widely recognised qualification that meets the higher level training and educational needs of the sectors in, and associated with, theAustralian and international marine transport industry. Graduates from the program will have the ability to not only adapt to the changing technical and commercial needs of the global shipping industry, but also take the lead where appropriate.",,Australia,Yes,Yes,,Yes,Yes,,No,Normal
DIP,Astralian Maritime College,Distance Launceston,Graduate Diploma of Applied Science (Specialisation) (J6E),College of Sciences and Engineering,"30,950",,AUD,Year,1,Year,,,,,,,http://www.utas.edu.au/courses/amc/courses/j6e-graduate-diploma-of-applied-science-specialisation,English,A,"The program will set the Australian benchmark for professional development in maritime operations. The key objective is to provide graduates with a widely recognised qualification that meets the higher level training and educational needs of the sectors in, and associated with, theAustralian and international marine transport industry. Graduates from the program will have the ability to not only adapt to the changing technical and commercial needs of the global shipping industry, but also take the lead where appropriate.",,Australia,Yes,Yes,,Yes,Yes,,No,Normal
ADEG,Astralian Maritime College,Distance Launceston,Master of Applied Science (Specialisation) (J7E),College of Sciences and Engineering,"46,967",,AUD,Year,1.5,Years,,,,,,,http://www.utas.edu.au/courses/amc/courses/j7e-master-of-applied-science-specialisation,English,A,Students will be able to enter the Masters following completion of the Graduate Diploma or a similar and equivalent award from another tertiary institution.,,Australia,Yes,Yes,,Yes,Yes,,No,Normal
